Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns
Onion,BULDANA,100,RABI,HORTICULTURE,MAHARASHTRA,ASKED ABOUT AVAILABILITY OF EQUIPMENTS,Spray Microlla  25ml10liter of water
Onion,BULDANA,75,KHARIF,HORTICULTURE,MAHARASHTRA,ASKED ABOUT WEEDICIDES IN GROUND NUT,spraying of coc 25 gm in 10 lit of water
Cotton Kapas,BULDANA,Agriculture Mechanization,,AGRICULTURE,MAHARASHTRA,rainfall data,
Cotton Kapas,BULDANA,6,KHARIF,AGRICULTURE,MAHARASHTRA,Qwhich vegetable crop suitable this time,average rate is rs 5600qtl
1066,AMRAVATI,3,KHARIF,AGRICULTURE,MAHARASHTRA,SECOND DIPPING TREATMENT FOR GRAPE,spray quinolphosh 25ec20ml10litof water
1282,AMRAVATI,78,,HORTICULTURE,MAHARASHTRA,APHIDS ON ONION,arka anamikaarka abhaypusa sawanipanjab-7 etc
Groundnut pea nutmung phalli,AMRAVATI,5,KHARIF,AGRICULTURE,MAHARASHTRA,MARKET RATE OF PAPAYA,tag -24sb-11m-13tg-26
Wheat,YEVATMAL,6,,AGRICULTURE,MAHARASHTRA,THRIPS ATTACK ON ONION,1375 - 1400 Rs quintal
Cotton Kapas,YEVATMAL,2,,AGRICULTURE,MAHARASHTRA,FERT DOSE IN ONION,spray 50gm urea100gm magnesium in 10lt of water
1280,YEVATMAL,76,KHARIF,HORTICULTURE,MAHARASHTRA,PLANTING TIME FOR PAPAYA,spraying of rogar 15 ml in 10 lit of water
1279,YEVATMAL,76,KHARIF,HORTICULTURE,MAHARASHTRA,VARIETIES OF PAPAYA,spraying of coc 25 gm in 10 lit of water
Pigeon pea red gramarhartur,WARDHA,3,KHARIF,AGRICULTURE,MAHARASHTRA,VARIETIES OF BLACK GRAPES,spray quinolphosh 25ec20ml10litof water
Cotton Kapas,WARDHA,2,KHARIF,AGRICULTURE,MAHARASHTRA,BLIGHT ATTACK ON ONION,spraying of mgso4 100 gm  urea 50 gm in 10 lit of water
Wheat,NAGPUR,1,KHARIF,AGRICULTURE,MAHARASHTRA,HERBICIDE IN WHEAT,upto 15 December irrigated
1037,BHANDARA,2,KHARIF,AGRICULTURE,MAHARASHTRA,POD BORER IN TUR,use disease resistant varities dreching of bavisstin 10gm10litof water
Others,CHANDRAPUR,Weather,,AGRICULTURE,MAHARASHTRA,FARMER WANT THE RAHURI AGRICULTURE COLLEGE CONTACT NO,ClearPrecip chance: 5
Watermelon,HINGOLI,74,RABI,HORTICULTURE,MAHARASHTRA,BREEDS OF BUFFALO,sowing season of summer watermelon jan-feb
Groundnut pea nutmung phalli,HINGOLI,1,,AGRICULTURE,MAHARASHTRA,THRIPS IN ONION,in summer season gnut shold be sown during 15jan-15feb
Soybean bhat,HINGOLI,1,,AGRICULTURE,MAHARASHTRA,varieties of okra,in summer season soyabean should sonw in month of jan-feb
1280,NANDURBAR,76,KHARIF,HORTICULTURE,MAHARASHTRA,VARIETIES OF GINGER,spraying of emida croplid 5 ml in 10 lit of water
Cotton Kapas,NANDURBAR,3,KHARIF,AGRICULTURE,MAHARASHTRA,WEATHER REPORT,spraying of rogar 15 ml in 10 lit of water
Cotton Kapas,WASHIM,2,KHARIF,AGRICULTURE,MAHARASHTRA,PEST ATTACK ON ARHAR,spray MgSo4 100gm50gm urea10litof water
Wheat,WASHIM,2,KHARIF,AGRICULTURE,MAHARASHTRA,FLOWER DROP PROBLEM IN ARHAR,spray mancozeb25gm10litof water
Colocasia Arvi Arbi,WASHIM,78,RABI,HORTICULTURE,MAHARASHTRA,MARKET RATE OF ONION,Varieties - Pusa phalguni Pusa do phasali Pusa komal etc
Groundnut pea nutmung phalli,WASHIM,5,KHARIF,AGRICULTURE,MAHARASHTRA,2ND FERTILIZER DOSE FOR IRRIGATED WHEAT,apply 15:15:15 65kg and SSP 65 kgacre
Wheat,MUMBAI,6,KHARIF,AGRICULTURE,MAHARASHTRA,BLIGHT IN POTATO,Date Variety APMC Unit Quantity HRate LRate Average 131210 ---- PUNE QUINTAL 3978 2800 1400 2100    ---- ---- CHOPDA QUINTAL 10 1401 1225 1401    ---- ---- NAGPUR QUINTAL 131 1700 1123 1411    ---- ---- MUMBAI QUINTAL 9726 2200 1450 1825    ---- ---- SHRIRAMPUR  QUINTAL 30 1631 1200 1475    ---- ---- DEULGAON RAJA  QUINTAL 15 1500 1250 1360    ---- ---- MANTHA  QUINTAL 11 1550 1150 1350    ---- BANSI MURUM  QUINTAL 7 1000 1000 1000
1282,NICOBAR,75,KHARIF,HORTICULTURE,A AND N ISLANDS,CONTROL MEASURE FOR RUST IN WHEAT,spraying of coc 25 gm in 10 lit of water
1137,VISAKHAPATNAM,0,,AGRICULTURE,ANDHRA PRADESH,MARKET RATE OF MAIZE,RECOMMENDED INFORMATION GIVEN AS PER DATA
1137,VISAKHAPATNAM,0,,AGRICULTURE,ANDHRA PRADESH,CONTROL MEASURE OF WEED OF WHEAT CROP,
1137,KRISHNA,0,,AGRICULTURE,ANDHRA PRADESH,SOWING TIME 4 LATE VARIETIES OF WHEAT,RECOMMENDED INFORMATION GIVEN AS PER DATA
Cotton Kapas,GUNTUR,0,,AGRICULTURE,ANDHRA PRADESH,HERBICIDE IN ONION,RECOMMENDED TO USE EMIDACHLOPRID AND WATER IN 1:20 RATIO AS PER DATA
Black Gram urd bean,KURNOOL,0,,AGRICULTURE,ANDHRA PRADESH,PEST ATTACK ON GRAM,RECOMMENDED INFORMATION GIVEN AS PER DATA
Banana,ANANTPUR,0,,HORTICULTURE,ANDHRA PRADESH,RUST IN WHEAT,RECOMMENDED INFORMATION GIVEN AS PER DATA
Radish,ANANTPUR,0,,HORTICULTURE,ANDHRA PRADESH,2ND FERTILIZER DOSE FOR ONION,RECOMMENDED INFORMATION GIVEN AS PER DATA
Others,ANANTPUR,0,,AGRICULTURE,ANDHRA PRADESH,FRUIT ROT IN CHILLI,INFORMATION GIVEN FROM INTERENET
Others,ANANTPUR,0,,AGRICULTURE,ANDHRA PRADESH,POWDERY MILDEW IN CHILLI,INFORMATION GIVEN WHERE ITS AVAILABLE
Groundnut pea nutmung phalli,Y S R ,0,,AGRICULTURE,ANDHRA PRADESH,CONTROL MEASURE OF MASTASIS DISEASE,RECOMMENDED TO SPRAY EMAJITHAPHIR AS PER DATA
Others,SHIMOGA,Weather,KHARIF,AGRICULTURE,KARNATAKA,POD BORER ATTACK ON GRAM,12th dec-Scattered Clouds  13th dec-Scattered Clouds
Others,DAVANAGERE,Weather,,AGRICULTURE,KARNATAKA,fertliser dose of potato,rainfall data given
1282,REWA,74,RABI,HORTICULTURE,MADHYA PRADESH,TREATMENT FOR ONION SEEDLINGS BEFORE PLANTING,Ans At this time you can sown Bhindi crop
Grape,NASIK,102,,HORTICULTURE,MAHARASHTRA,ANY LOAN FACILITIES FOR STARTING VERMICOMPOST PROJECT,40 PPM GA3 FER SECOND DIPPING
Onion,NASIK,76,,HORTICULTURE,MAHARASHTRA,ANY GOVT SCHEME FOR PLANTATION OF TEAKWOOD,SPRAYING OF DIMETHOATE 10 ML  10 ML STICKER IN 10 LIT OF WATER
1324,NASIK,102,,HORTICULTURE,MAHARASHTRA,HOW TO CONTROL THE POD BORER IN GRAM CROP,MARKET RATE OF PAPAYA RS 700 QUIAV
Onion,NASIK,76,,HORTICULTURE,MAHARASHTRA,IRRIGATION IS BENEFICIAL AT THE TIME OF FLOWERING,SPRAY EMIDACLOPRID 10 ML IN 10 LIT WATER
Onion,NASIK,Fertilizer Use and Availability,,HORTICULTURE,MAHARASHTRA,INFORMATION ABOUT WEATHER IN SANGALI DISTRICT,APPLY AMMONIUM SULPHATE 20 KG  45 KG UREA PER ACRE
1324,NASIK,85,,HORTICULTURE,MAHARASHTRA,INFORMATION ABOUT FARM POND,PLANTING CAN BE AT ANY SEASON AVOID DURING HIGH RAINFALL
1324,NASIK,78,,HORTICULTURE,MAHARASHTRA,CONTROL MEASURE FOR JOWAR RUST,TAIWAN-786 CO-1 C0-2 C0-6 ETC
Grape,NASIK,78,,HORTICULTURE,MAHARASHTRA,CONTACT NO OF CENTRAL HATCHERY CENTRE,THOMPSON SEEDLESS
Onion,NASIK,75,,HORTICULTURE,MAHARASHTRA,ANY GOVT SCHEME FOR STARTING DAIRY FARMING,SPRAY TILT 25 GM IN 10 LIT WATER
Wheat,NASIK,21,,AGRICULTURE,MAHARASHTRA,YELLOWING OF WHEAT CROP,SPRAY ISOPROTORON 1 KG IN 500 LIT WATER
1066,DHULE,3,JAYAD,AGRICULTURE,MAHARASHTRA,LESS GROWTH OF GRAM EVEN AFTER 45 DAYS OF SOWING,SPRAY 3ML SPINOSAD OR 20ML QUINOLPHOS IN 10 LIT OF WATER
Others,DHULE,29,,AGRICULTURE,MAHARASHTRA,FLOWER DROP PROBLEM IN MANGO,I GIVING HIM THE RAHURI AGRICULTURE COLLEGE CONTACT NO02426 243861
964,DHULE,Dairy Production,,ANIMAL HUSBANDRY,MAHARASHTRA,LOW FAT  IN MILK OF COW,MURHA SURTI MEHSANA JAFRABADI
Onion,JALGAON,76,KHARIF,HORTICULTURE,MAHARASHTRA,ask about varieties of sugarcane,SPRAY DIMETOATE 10ML IN 10 LIT OF WATER
2103,JALGAON,78,KHARIF,HORTICULTURE,MAHARASHTRA,CONTROL MEASURE OF POD BORER OF TUR,arka anamika
Ginger,JALGAON,78,,HORTICULTURE,MAHARASHTRA,LATE SOWING VAR OF WHEAT,CHINA VYANAD G-55-1 SURBHI ETC
Others,JALGAON,Weather,,AGRICULTURE,MAHARASHTRA,ADDRESS OF SOIL TESTING LAB,SCATTERED CLOUDS FOR 2 DAYS
1066,JALGAON,3,,AGRICULTURE,MAHARASHTRA,FERT DOSE 4 MANGEO 5 YEARS OLD PLANT,SPRAY PROCLAIM 10 ML IN 10 LIT WATER
1066,JALGAON,26,,AGRICULTURE,MAHARASHTRA,SUCKING PEST ATTACK ON ONION,SPRAY PLANOFIX 4 ML IN 10 LIT WATER
Onion,JALGAON,Market Information,,HORTICULTURE,MAHARASHTRA,LATE SOWING TIME FOR WHEAT,RS 1000 PER QUINTAL AVERAGE
Wheat,AHMADNAGAR,27,KHARIF,AGRICULTURE,MAHARASHTRA,VARIETIES OF BRINJAL,50 KG UREA PER ACRE
1296,AHMADNAGAR,75,KHARIF,HORTICULTURE,MAHARASHTRA,HERBICIDE IN MAIZE JOWAR AND WHEAT,SPRAY 20GM DITHANE M-45 OR COC IN 10 LIT OF WATER
Wheat,AHMADNAGAR,2,KHARIF,AGRICULTURE,MAHARASHTRA,INFORMATION ABOUT WEATHER IN AURANGABAD DISTRICT,SPRAY PROPICONAZOLE 10ML IN 10 LIT OF WATER
Wheat,AHMADNAGAR,27,KHARIF,AGRICULTURE,MAHARASHTRA,INFORMATION ABOUT MARKET RATE OF MAIZE CROP IN AMEAMDNAGAR MARKET,50KG UREA PER ACRE
1075,AHMADNAGAR,6,,AGRICULTURE,MAHARASHTRA,CONTROL MEASURE OF LEAF ROLAR ON TUR CROP,RS 760 PER QUINTAL
Wheat,AHMADNAGAR,22,KHARIF,AGRICULTURE,MAHARASHTRA,control measure of stem borer on jower,
Wheat,AHMADNAGAR,12,,AGRICULTURE,MAHARASHTRA,market rate soyabean,15-Dec
Onion,AHMADNAGAR,94,,HORTICULTURE,MAHARASHTRA,market rate of tur,SPRAY BASALIN GOAL 1 KG IN 500 LIT OF WATER APRAY AFTER 1 MONTH OF PLANTING
1037,AHMADNAGAR,3,,AGRICULTURE,MAHARASHTRA,control measure of weed of wheat,SPRAY ENDOSULPHAN 20 ML  25 ml neem oil IN 10 LIT WATER
Wheat,PUNE,2,KHARIF,AGRICULTURE,MAHARASHTRA,IRRIGATION ONTERVAL IN WHEAT,SPRAY TILT 10ML IN 10LIT OF WATER
Onion,PUNE,Fertilizer Use and Availability,KHARIF,HORTICULTURE,MAHARASHTRA,BUFFALO,45KG UREA PER ACRE
Chillies,PUNE,0,KHARIF,HORTICULTURE,MAHARASHTRA,fertiliser dose of pomogranate 3 yr tree,SPRAY DITHANE M-45 OR Z-78 25GM IN 10 LIT OF WATER
Chillies,PUNE,100,KHARIF,HORTICULTURE,MAHARASHTRA,SOWING TIME FOR GROUNDNUT SUMMER,SPRAY SULPHER 25GM OR KARATHANE 10ML IN 10 LIT OF WATER
BovineCowBuffalo,PUNE,Disease Management,KHARIF,ANIMAL HUSBANDRY,MAHARASHTRA,infecton of blight on onion ,
1037,PUNE,3,,AGRICULTURE,MAHARASHTRA,QUANTITY OF DAP TO SPRAY ON GRAM,SPRAY CLORPYRIPHOS 20 ML IN 10 LIT WATER
Potato,PUNE,Fertilizer Use and Availability,KHARIF,AGRICULTURE,MAHARASHTRA,MARKET RATE OF SOYABEAN,apply 165 kg suphala 75 kg urea 35 kg mop acre
Onion,PUNE,91,,HORTICULTURE,MAHARASHTRA,MARKET RATE OF ARHAR,DIP ROOTS OF SEEDLINGS IN THE SOLUTION OF BAVISTINE
Others,PUNE,8,,AGRICULTURE,MAHARASHTRA,sowing time of onion,SUBSIDY IS AVAILABLE THROUGH AGRICULTURE DEPT
Others,PUNE,15,,AGRICULTURE,MAHARASHTRA,attack of pest on tur,NOT ANY SPECIAL SCHEME FROM GOVT BUT REFER TO CONTACT SOCIAL FORESTATION DEPT SUCH SCHEMES ARE CONDUCTED THROUGH THIS DEPT
1037,SANGLI,3,,AGRICULTURE,MAHARASHTRA,BUFFALO IS VERY ILL,FOR CONTROLLING THE POD BORER IN GRAM CROP SPRAYING CHLOROPOYRIPHOS 20ML IN 10 LIT WATER
1037,SANGLI,Water Management,,AGRICULTURE,MAHARASHTRA,GREEN PEST ON GRAM CROP,YES IRRIGATION IS BENEFICIAL AT THE TIME OF FLOWERING
Others,SANGLI,Weather,,AGRICULTURE,MAHARASHTRA,INFORMATION ABOUT MARKRT RATE OF ONION CROP IN OSMANABAD MARKET,INFORMATION ABOUT WEATHER IN SANGALI DISTRICT ARE TODAY PARTLY CLOUDY WEATHER WITH LIGHT RAIN
Others,SOLAPUR,29,,AGRICULTURE,MAHARASHTRA,POD BORER ON TUR,I GIVEN DETAIL INFORMATION OF ABOUT FARM POND SCHEME  SUGGEST TO CONTACT AGRIL OFFICER
2051,SOLAPUR,2,KHARIF,AGRICULTURE,MAHARASHTRA,CONTACT NO OF EMU FARMER ASSOCIATION,SPRAY M-45MANCOZEB25GM10LITOF WATER
Onion,SOLAPUR,Market Information,,HORTICULTURE,MAHARASHTRA,FLOWER DROP IN TUR,MARKET RATE OF ONION-  RS 1100 QUI
Others,SOLAPUR,29,,AGRICULTURE,MAHARASHTRA,ask about market rate of soyabean,CONTACT NO OF CENTRAL HATCHERY CENTRE- 020 25816974 PUNE
Wheat,SOLAPUR,21,,AGRICULTURE,MAHARASHTRA,POD BORER,SPRAY 2-4-D 1-15 KG IN 10 LIT WATER
2047,SOLAPUR,31,,ANIMAL HUSBANDRY,MAHARASHTRA,APPLY SUFLA  UREA  SPRAY HUMIC ACID 30 GM,25  SUBSIDY IS AVAILABLE BY GOVT
Wheat,SOLAPUR,27,,AGRICULTURE,MAHARASHTRA,YELLOWING LEAF OF TUR CROP,APPLY 55 KG 15:15:15  20 KG UREA PER ACRE  SPRAY 19:19 150 GM  30 GM COC IN 10 LIT WATER
1037,KOLHAPUR,20,,AGRICULTURE,MAHARASHTRA,INFORMATION A BOUT WERATHER IN BULDANA DISTRICT,65 KG SUFLA  60 KG SUPER PHOSPHATE PER ACRE SPRAY HUMIC ACID 30 GM IN 10 LIT WATER
1268,KOLHAPUR,99,,HORTICULTURE,MAHARASHTRA,CONTROL MEASURE OF FUNGAL ATTACK ON OINION CROP,SPRAY PLANOFIX 6 ML IN 10 LIT WATER
1037,KOLHAPUR,3,,AGRICULTURE,MAHARASHTRA,PREVENTING OF SHOOT GROWTH IN ORANGE,SPRAY CLORPYRIPHOS 20 ML  25 ML NEEM ARK IN 10 LLIT WATER
2047,KOLHAPUR,43,,ANIMAL HUSBANDRY,MAHARASHTRA,DISCONNECTED,ALLOW GRINDED MAIZE  MINERAL MIXTURE
Onion,AURANGABAD,Market Information,JAYAD,HORTICULTURE,MAHARASHTRA,MARKET TO PURCHASE GIRIRAJA BREEB OD POULTRY,800-2000 RSQTL
Onion,AURANGABAD,76,KHARIF,HORTICULTURE,MAHARASHTRA,HOW TO CONTROL FLOWER DROPPING IN GRAM CROP,SPRAY DIMETHOATE 10ML IN 10 LIT OF WATER
Sunnhemp Patua,AURANGABAD,5,KHARIF,AGRICULTURE,MAHARASHTRA,LESS FLOWRING IN ARHAR,co-8603294012
1066,AURANGABAD,3,KHARIF,AGRICULTURE,MAHARASHTRA,INFORMATION ABOUT WEATHER IN AMTAVATI DISTRICT,SPRAY CYPERMETHRIN 4 ML IN 10 LITER OF WATER
Wheat,AURANGABAD,5,,AGRICULTURE,MAHARASHTRA,SOWING SEASON FOR FODDER JOWAR,LATE SOWING VAR OF WHEAT- AKW-1071HD-2501HD-2610 ETC
Onion,AURANGABAD,75,,HORTICULTURE,MAHARASHTRA,fertiliser dose of sugarcane,SPRAING OF M-45 25 gm  10 ML STICKER IN 10 LIT OF WATER
Others,AURANGABAD,29,,AGRICULTURE,MAHARASHTRA,HOW TO CONTROL POD BORER IN TUR CROP,SOIL TESTING LABHARBHAJANSING BUILDINGUSMANPURA EKNATH ROADAURANGABAD
1268,AURANGABAD,Fertilizer Use and Availability,,HORTICULTURE,MAHARASHTRA,weather report for yavatmal distt,5 KG COMPOST  350 GM SUFLA  200 GM UREA PER PLANT
Onion,AURANGABAD,76,,HORTICULTURE,MAHARASHTRA,Basal dose,SPRAY EMIDACLOPRID 10 ML IN 10 LIT WATER
Wheat,AURANGABAD,12,,AGRICULTURE,MAHARASHTRA,control measure of wilt on gram,15-Dec
1279,AURANGABAD,78,,HORTICULTURE,MAHARASHTRA,CONTROL MEASURE OF RUST ON WHEAT,KRUSHNA RUCHIRA ARUNA PUSA KRANTI PRAGATI ETC
1075,AURANGABAD,0,,AGRICULTURE,MAHARASHTRA,POD BORER ON ARHAR,SPRAY 2-4-D 1 KG IN 500 LIT WATER SPRAY AFTER 30-40 DAYS OF SOWING
Others,AURANGABAD,Weather,,AGRICULTURE,MAHARASHTRA,RHIZOME FLY IN TURMERIC,INFORMATION ABOUT WEATHER IN AURANGABAD DISTRICT ARE TODAY PARTLY CLOUDY WEATHER WITH LIGHT RAIN
1075,AURANGABAD,6,,AGRICULTURE,MAHARASHTRA,control measure of pod borer on tur,INFORMATION ABOUT MARKET RATE OF MAIZE CROP IN AMEAMDNAGAR MARKET ARE RS106800 PER QUINTAL
Pigeon pea red gramarhartur,AURANGABAD,3,,AGRICULTURE,MAHARASHTRA,control measure of drop flower of tur,CONTROL MEASURE OF LEAF ROLAR ON TUR CROP ARE SPRAY 20 ML CHLOROPHYRIPHOS IN 10 LITER OF WATER
2051,JALNA,3,KHARIF,AGRICULTURE,MAHARASHTRA,BIOLOGICAL PEST CONTROL IN GRAM,spray trizophos  deltamethrin 25 ml in 10 liter of water
Soybean bhat,PARBHANI,6,KHARIF,AGRICULTURE,MAHARASHTRA,control measure of leaf eating catterpiller on tur,rs 2300-2400qt
Pigeon pea red gramarhartur,PARBHANI,6,KHARIF,AGRICULTURE,MAHARASHTRA,INFORMATION ABOUT WEATHER IN WASHIM DISTRICT,rs 5400  qt
Wheat,PARBHANI,22,,AGRICULTURE,MAHARASHTRA,control measure of churda murda on chilli,spray altrabutoclor 1-15 kg in 500 liter of water
Wheat,PARBHANI,Water Management,,AGRICULTURE,MAHARASHTRA,VARIETIES POF ONION,21 DAY INTERVAL
964,PARBHANI,Disease Management,,ANIMAL HUSBANDRY,MAHARASHTRA,Asking about Climate  Soil requirement for cultivation of Cauliflower,
1325,BEED,Fertilizer Use and Availability,KHARIF,HORTICULTURE,MAHARASHTRA,PL TELL ME VARITIES OF CUMIN CROP,apply 15 kg compost  825 gm suphala and urea  tree
Onion,BEED,Market Information,,HORTICULTURE,MAHARASHTRA,black gram season and variety,RS 1200 PER QUINTAL
1066,BEED,3,,AGRICULTURE,MAHARASHTRA,leaf folder control measure in paddy,SPRAY ENDOSULPHAN 20 ML  30 ML NEEM OIL IN 10 LIT WATER
Groundnut pea nutmung phalli,BEED,12,,AGRICULTURE,MAHARASHTRA,inquiering date to distributed the new land use policy NLUP of the mizoram state goverment,15 JAN- 15 FEB
Onion,BEED,75,,HORTICULTURE,MAHARASHTRA,ASKED WHETHER HE CAN SPRAY FERTILIZER AND A PESTICIDE TOGETHER,spraying of coc 25 gm in 10 lit of water
1066,NANDED,3,JAYAD,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF STEM BORER IN RICE,SPRAY SPINOSAD 3ML  50ML NEEMOIL IN 10 LIT OF WATER AT AN INTERVAL OF 10 DAYS
1037,NANDED,29,KHARIF,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL FOR MOSAIC,200GM DAP IN 10 LIT OF WATER AT AN INTERVAL OF 8-12 DAYS
1066,NANDED,3,JAYAD,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE FERTILISER RECOMMENDATION IN PADDY,SPRAY QUINOLPHOS 20ML OR SPINOSAD 3ML  30ML NEEMOIL IN 10 LIT OF WATER
Soybean bhat,NANDED,6,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL FOR THRIPS DAMAGE,RS 2340 PER QUINTAL
1066,NANDED,6,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE VARITIES IN PADDY,RS 4005 PER QUINTAL AVERAGE
1037,NANDED,3,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF SUCKING PEST IN RED GRAM,SPRAY QUINALPHOS 20 ML IN 10 LIT WATER
Onion,OSMANABAD,74,,HORTICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL FOR JASSIDS,jan-feb
Pigeon pea red gramarhartur,OSMANABAD,3,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL FOR BROWN SPOT,spray quinalphos 20 ml in 10 lit of water
964,OSMANABAD,Disease Management,,ANIMAL HUSBANDRY,MAHARASHTRA,ASKED ABOUT CONTROL FOR APHIDS DAMAGE,FOR CONTROLLING BUFFALO ILLNESS CONTACT TO VETARNARY DOCTOR
1037,OSMANABAD,2,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF RICE BLAST,FOR CONTROLLING GREEN PEST ON GRAM CROP SPRAYING CHLOROPOYRIPHOS 20ML IN 10 LIT WATER
Onion,OSMANABAD,Market Information,,HORTICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF SUCKING PEST IN BENGAL GRAM,INFORMATION ABOUT MARKRT RATE OF ONION CROP IN OSMANABAD MARKET ARE RS250000 PERT QUINTAL
1066,LATUR,3,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF THRIPS IN CHILLIES,SPRAYING OF ENDOXCARB 10 ML IN 10 LIT OF WATER
Others,LATUR,29,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF GLH IN SUNFLOWER,CONTACT NO OF EMU FARMER ASSOCIATION- 020 30787100 MOBNO 9850090070
1066,BULDANA,3,JAYAD,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL FOR Mg DEFICIENCY,SPRAY 20ML QUINOLPHOS IN 10 LIT OF WATER
1066,BULDANA,26,JAYAD,AGRICULTURE,MAHARASHTRA,ASKED ABOUT INFORMATION ON RABBITS,SPRAY 3ML PLANOFIX IN 10 LIT OF WATER
Soybean bhat,BULDANA,6,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL FOR DIE-BACK FRUITROT,AKOLA QUINTAL 1446 2370 2340 2360
1066,BULDANA,3,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF TOBACCO CATERPILLAR,SPRAYING OF IMAMECTIN BENZOATE 6 ML IN 10 LIT OF WATER
1037,BULDANA,Fertilizer Use and Availability,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE CONTROL OF BLAST IN PADDY,FERT DOSE  LESS GROWTH OF GRAM:-APPLY SUFLA  UREA  SPRAY HUMIC ACID 30 GM
1066,BULDANA,3,,AGRICULTURE,MAHARASHTRA,ASKED BOUT THE CONTROL OF WEEDS,SPRAY PROCLAIM 10 ML IN 10 ML IN 10 LIT WATER
1066,BULDANA,2,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL OF STEM BORER IN PADDY,FOR CONTROLLING YELLOWING LEAF OF TUR CROP SPRAYING HUMIC ACID 15GM25ML MICROLLA IN 10 LIT WATER
Wheat,BULDANA,21,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL FOR SUCKING PESTS,SPRAY ISOPROTORON 1 KG IN 500 LIT WATER SPRAY AFTER 1 MONTH OF SOWING
Others,BULDANA,Weather,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL OF TERMITES,INFORMATION A BOUT WERATHER IN BULDANA DISTRICT ARE TODAY PARTLY CLOUDY WEATHER WITH LIGHT RAIN
Onion,BULDANA,75,,HORTICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL OF RHINOCERUS BEETLE,CONTROL MEASURE OF FUNGAL ATTACK ON OINION CROP ARE DRAINCH 25 GM COC IN 10 LITER OF WATER
1066,AKOLA,29,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL FOR STEM BORER DAMAGE,SPRAYING OF ENDOXACARB 10 ML IN 10 LIT OF WATER
Onion,AKOLA,75,,HORTICULTURE,MAHARASHTRA,ASKED ABOUT SOWING OF OIL PALM SEASON,SPRAY MANCOZEB 30 GM  2 gm streptocycline IN 10 LIT WATER
Wheat,AKOLA,27,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT VARIETIES OF BEERA,APPLY 50 KG UREA PER ACRE  SPRAY COC 30 GM  BIOLA 25 ML IN 10 LIT WATER
Wheat,AMRAVATI,6,,AGRICULTURE,MAHARASHTRA,LEAF SPOTS IN RIDGE GOURD,MARKET RATE OF SOYABEAN- Rs 2360 QUI AV
Citrus,AMRAVATI,102,,HORTICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL FOR BPH,SPRAYING OF CCC-500 PPM
Others,AMRAVATI,29,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT SEED TREATMENT IN RICE,DISCONNECTED
1066,AMRAVATI,3,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE PROCESS OF RAISING DAIRYFARM,SPRAYING OF ENDOXACARB 10 ML IN 10 LIT OF WATER
Others,AMRAVATI,32,,ANIMAL HUSBANDRY,MAHARASHTRA,ASKED ABOUT CONTROL OF WEEDS IN PADDY,REFER TO CONTACT NAGPUR VET COLLEGE
Cotton Kapas,AMRAVATI,6,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT WEED CONTROL IN PADDY,RS 3100 PER QUINTAL
Soybean bhat,AMRAVATI,6,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT FERTILIZER APPLICATION,RS 2329 PER QUINTAL
1037,AMRAVATI,26,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL FOR WEEDS,FOR CONTROLLING FLOWER DROPPING IN GRAM CROP SPRAYING PLANOFIX 4ML IN 10 LIT WATER
1066,AMRAVATI,20,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT THE WEEDICIDE AFTER 25 DAYS OF CROP STAND,SPRAY BOOMFLOWER SPRAY MICRONUTRIENTS 30 ML IN 10 LIT WATER
1066,AMRAVATI,3,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CONTROL FOR GALLMIDGE DAMAGE,SPRAY PROCLAIM 10 ML IN 10 LIT WATER
